iter	Passed	Remaining
563	4200	3246
564	4204	3237
565	4213	3231
566	4218	3221
567	4224	3213
568	4229	3203
569	4233	3193
570	4238	3184
571	4242	3174
572	4247	3165
573	4251	3155
574	4258	3147
575	4262	3138
576	4267	3128
577	4277	3123
578	4282	3113
579	4289	3105
580	4293	3096
581	4299	3088
582	4308	3081
583	4315	3073
584	4323	3067
585	4328	3057
586	4332	3048
587	4338	3039
588	4342	3030
589	4349	3022
590	4356	3014
591	4361	3005
592	4368	2998
593	4372	2988
594	4377	2979
595	4384	2971
596	4388	2962
597	4393	2953
598	4401	2946
599	4405	2937
600	4410	2927
601	4417	2920
602	4422	2911
603	4426	2902
604	4435	2895
605	4439	2886
606	4446	2879
607	4452	2870
608	4456	2861
609	4463	2853
610	4467	2844
611	4472	2835
612	4478	2827
613	4483	2818
614	4487	2809
615	4494	2802
616	4500	2793
617	4504	2784
618	4512	2777
619	4518	2769
620	4522	2760
621	4530	2753
622	4536	2745
623	4549	2741
624	4561	2736
625	4566	2728
626	4577	2723
627	4583	2715
628	4592	2708
629	4597	2699
630	4602	2691
631	4609	2683
632	4613	2674
633	4626	2670
634	4633	2663
635	4644	2657
636	4648	2649
637	4655	2641
638	4660	2633
639	4665	2624
640	4671	2616
641	4676	2607
642	4683	2600
643	4691	2593
644	4698	2585
645	4705	2578
646	4710	2569
647	4714	2561
648	4721	2553
649	4726	2544
650	4730	2535
651	4737	2528
652	4743	2520
653	4747	2511
654	4753	2503
655	4759	2495
656	4763	2486
657	4769	2479
658	4774	2470
659	4778	2461
660	4782	2452
661	4790	2445
662	4794	2437
663	4798	2428
664	4806	2421
665	4810	2412
666	4814	2403
667	4821	2396
668	4826	2387
669	4831	2379
670	4838	2372
671	4843	2363
672	4847	2355
673	4852	2347
674	4856	2338
675	4863	2331
676	4868	2322
677	4873	2314
678	4877	2305
679	4884	2298
680	4888	2290
681	4895	2282
682	4900	2274
683	4907	2267
684	4916	2260
685	4920	2252
686	4928	2245
687	4932	2236
688	4937	2228
689	4944	2221
690	4948	2213
691	4953	2204
692	4960	2197
693	4965	2189
694	4970	2181
695	4977	2174
696	4982	2165
697	4986	2157
698	4994	2150
699	4999	2142
700	5003	2134
701	5011	2127
702	5015	2119
703	5020	2110
704	5027	2103
705	5032	2095
706	5036	2087
707	5047	2081
708	5053	2074
709	5059	2066
710	5065	2059
711	5075	2052
712	5079	2044
713	5088	2038
714	5092	2030
715	5097	2021
716	5105	2015
717	5110	2007
718	5114	1998
719	5123	1992
720	5129	1984
721	5137	1978
722	5147	1972
723	5156	1965
724	5163	1958
725	5172	1952
726	5178	1944
727	5185	1937
728	5189	1929
729	5194	1921
730	5201	1914
731	5207	1906
732	5211	1898
733	5218	1891
734	5222	1883
735	5227	1874
736	5234	1867
737	5239	1860
738	5243	1852
739	5250	1844
740	5255	1836
741	5259	1828
742	5268	1822
743	5272	1814
744	5279	1807
745	5287	1800
746	5295	1793
747	5302	1786
748	5307	1778
749	5314	1771
750	5319	1763
751	5323	1755
752	5332	1749
753	5337	1741
754	5344	1734
755	5350	1726
756	5355	1719
757	5364	1712
758	5369	1704
759	5377	1698
760	5382	1690
761	5389	1683
762	5398	1676
763	5402	1668
764	5410	1662
765	5415	1654
766	5421	1646
767	5428	1639
768	5432	1631
769	5444	1626
770	5449	1618
771	5453	1610
772	5462	1604
773	5467	1596
774	5476	1589
775	5481	1582
776	5485	1574
777	5494	1567
778	5499	1560
779	5505	1552
780	5512	1545
781	5517	1538
782	5522	1530
783	5528	1523
784	5533	1515
785	5537	1507
786	5542	1499
787	5547	1492
788	5552	1484
789	5560	1478
790	5565	1470
791	5570	1462
792	5577	1455
793	5581	1448
794	5585	1440
795	5593	1433
796	5598	1425
797	5603	1418
798	5610	1411
799	5614	1403
800	5619	1396
801	5626	1389
802	5630	1381
803	5634	1373
804	5641	1366
805	5645	1358
806	5650	1351
807	5657	1344
808	5661	1336
809	5666	1329
810	5673	1322
811	5679	1314
812	5687	1308
813	5692	1300
814	5696	1293
815	5703	1285
816	5707	1278
817	5712	1270
818	5718	1263
819	5723	1256
820	5727	1248
821	5731	1241
822	5738	1234
823	5743	1226
824	5747	1219
825	5754	1212
826	5759	1204
827	5763	1197
828	5770	1190
829	5774	1182
830	5778	1175
831	5785	1168
832	5790	1160
833	5794	1153
834	5802	1146
835	5807	1139
836	5816	1132
837	5822	1125
838	5826	1118
839	5833	1111
840	5837	1103
841	5841	1096
842	5850	1089
843	5854	1082
844	5858	1074
845	5865	1067
846	5869	1060
847	5872	1052
848	5878	1045
849	5882	1038
850	5887	1030
851	5894	1023
852	5898	1016
853	5902	1009
854	5907	1001
855	5912	994
856	5916	987
857	5921	979
858	5927	972
859	5931	965
860	5935	958
861	5942	951
862	5946	943
863	5950	936
864	5956	929
865	5961	922
866	5965	915
867	5968	907
868	5974	900
869	5978	893
870	5982	886
871	5988	879
872	5993	871
873	5998	864
874	6004	857
875	6008	850
876	6013	843
877	6017	836
878	6024	829
879	6028	822
880	6032	814
881	6038	807
882	6043	800
883	6047	793
884	6053	786
885	6061	779
886	6065	772
887	6072	765
888	6076	758
889	6079	751
890	6086	744
891	6091	737
892	6096	730
893	6105	723
894	6109	716
895	6116	710
896	6121	702
897	6124	695
898	6128	688
899	6135	681
900	6140	674
901	6144	667
902	6151	660
903	6155	653
904	6158	646
905	6165	639
906	6169	632
907	6173	625
908	6176	618
909	6183	611
910	6188	604
911	6192	597
912	6201	590
913	6206	583
914	6215	577
915	6220	570
916	6225	563
917	6233	556
918	6237	549
919	6242	542
920	6249	536
921	6252	528
922	6257	521
923	6263	515
924	6268	508
925	6272	501
926	6278	494
927	6282	487
928	6287	480
929	6293	473
930	6298	466
931	6302	459
932	6306	452
933	6313	446
934	6318	439
935	6322	432
936	6329	425
937	6333	418
938	6338	411
939	6346	405
940	6349	398
941	6353	391
942	6360	384
943	6363	377
944	6367	370
945	6371	363
946	6376	356
947	6380	349
948	6385	343
949	6393	336
950	6397	329
951	6400	322
952	6409	316
953	6413	309
954	6417	302
955	6424	295
956	6429	288
957	6436	282
958	6443	275
959	6449	268
960	6456	262
961	6461	255
962	6468	248
963	6471	241
964	6474	234
965	6478	228
966	6485	221
967	6489	214
968	6494	207
969	6500	201
970	6504	194
971	6508	187
972	6514	180
973	6520	174
974	6526	167
975	6533	160
976	6537	153
977	6541	147
978	6548	140
979	6553	133
980	6558	127
981	6564	120
982	6568	113
983	6579	106
984	6584	100
985	6588	93
986	6591	86
987	6598	80
988	6602	73
989	6606	66
990	6613	60
991	6619	53
992	6623	46
993	6631	40
994	6636	33
995	6648	26
996	6664	20
997	6675	13
998	6683	6
999	6693	0
